18,61
19,75
30,41
32,80
40,34
41,56
43,94
61,2
62,16
63-1,3
64,1
65,1
68,75
69,64
71,47
72,55
73,50
74,57
75,70
76,60
77,118
78,62
79,68
80,81
81,107
82,92
83,87
84,85
85,83
86,40
87,71
88,84
89,107
90,88
91,86
92,63
93,87
94,93
95,119
96,87
105,3
106,14
107,26
109,8
110,4
111,7
113,17
114,14
115,6
116,18
116-1,2
121A,11
122A,3
122B,3
123,6
124,9
125,17
126,11
127,4
128,3
129,13
130,2
131,2
132,7
133,8
137,12
138,21
139,2
140,7
141,4
141-1,1
141-2,1
142,9
143,1
144,11
147,19
148,7
149,6
150,3
152,1
153,5
154,3
155,7
155-1,1
156A,13
156A-1,1
156B,2
157A,19
158,3
159,3
160,17
161,29
162,22
163,6
164,1
165,14
166,11
167,13
168,17
169-1,4
170,12
171,8
172,18
175,5
176,12
178,2
179,4
180,15
181,10
182,6
183,6
185,23
186,17
188,4
190,7
191,1
192,16
193,3
193-1,1
195,6
196,74
197,11
198,10
199,7
200,8
201,6
202,25
203,24
204,10
205,70
206,15
207,7
209,1
210,1
211-1,6
212,9
215,6
219,17
220,11
221,13
222,12
223,5
224,1
225,17
226,2
226-1,1
227,2
228,3
228-1,2
229,5
230,6
231,5
232,4
233,9
234,1
235,8
236,5
236-1,5
237,20
238,25
239,15
240,18
241,41
242,1
243,20
244,36
245,7
246,5
247,5
248,3
248-1,2
249,4
250,16
251,1
252,3
253,20
254,9
255,4
256-1,1
257,5
258,27
259,13
260,29
261,16
262,29
263,46
264,25
265,43
266,17
267,25
268,14
269,2
270,13
271,7
272,24
273,3
274,12
275,3
275-1,3
276,14
277,17
278,5
279,1
280,13
281,25
282,15
283,9
284,3
285,9
286,2
287,6
288,6
289,12
290,5
291,3
292,8
293,40
295,9
296,6
297,1
298,46
299,3
300,9
301,13
303,23
304,15
305,1
306,10
307,3
308,11
309,8
310,15
311,5
312,29
313,2
314,13
315,29
316,12
317,25
318,10
320,44
321,33
322,13
323,7
324,30
325,4
326,2
327,5
328,17
329,1
330,17
330-1,4
331,5
332,11
334,2
335,2
335-1,1
336,10
336-1,5
337,25
341,1
342,32
343,39
344,4
345,12
346,3
347,10
348,10
349,21
350,6
352,1
353,16
354,37
355,3
357,5
357-1,1
358,1
359,11
359A,1
360,15
